site,lat,lon,Kelvindist,nearrivdis,Clydedist,Elevation,prop_woodland,prop_wetland,prop_urban,prop_freshwater,prop_grassland,prop_arable,prop_coast,dist_allotment,dist_cemetery,dist_parks,dist_motorway,dist_majorroad,dist_minorroad,dist_canal,dist_lake,dist_river,dist_streetlight,streetlight_density,newClydedist0,newClydedist2
A0,55.924684999999997,-4.267943,56.3038,56.304,7147.064,36,0.205,0.028,0,0,0.7,0.067,0,3320.161745152828189,2007.136494848027496,2146.993148601222856,5926.259039119608133,549.106497405311984,419.384377868313720,1703.195746801846099,3763.394996985523903,0,1717.105,0,13487.57932,13487.57932
A1,55.923741000000000,-4.266161,207.2325,207.232,7091.293,38,0.07,0.088,0,0.002,0.601,0.239,0,3291.955685856338732,1928.020222287508659,2204.629449006465165,5823.079274070793872,596.466726062404405,288.262969158760086,1550.360722662330545,3916.479258379984458,80.840282413532350,1620.303,0,13487.57932,13461.61905
A2,55.922178000000002,-4.26197,429.0182,429.018,7037.864,45,0,0,0,0,0.497,0.503,0,3113.747509605794221,1845.596732839605011,2380.240682597367595,5656.988865965038713,742.004176076098815,17.511552809272221,1244.370173253789289,4227.968710603105137,302.635818305751798,1501.816,0,13487.57932,13487.57932
B0,55.917811999999998,-4.278829,29.8601,29.86,6196.384,31,0.607,0,0,0,0.249,0.144,0,2296.838572598191604,1209.455647598509813,1246.891876874104582,5199.837699433493071,161.060932851963713,232.142957991416381,1679.630719024422206,3899.044957844295368,0,1114.644,0,12170.89743,12170.89743
B1,55.915629000000003,-4.278508,209.5456,209.546,5972.371,35,0.02,0,0,0,0.636,0.344,0,2143.811798006903246,965.613733731003208,1238.951437507186483,4956.154996174079315,251.291093454049246,282.143264742815120,1521.418500475329893,4114.267115953204666,83.031769963792826,878.043,0,12170.89743,12170.89743
B2,55.913608000000004,-4.277353,298.404,298.404,5784.926,50,0.008,0,0,0,0.584,0.408,0,2060.222690613320083,736.634002249855598,1322.242695384063836,4724.314523116644523,279.188546853604350,163.193823057729645,1331.406797186677750,4343.754520729447904,172.164939666446088,680.879,0,12170.89743,12170.89743
C0,55.909914999999998,-4.295492,8.2257,8.226,5087.564,29,0.429,0,0,0,0.515,0.055,0,949.517997669078682,932.566660801714761,480.665803706824363,4592.112701942786771,1057.753998951709264,227.836845010829734,1730.579632442946604,4271.471623938812627,0,316.927,0,10253.33726,10253.33726
C1,55.912098000000000,-4.295444,116.0449,116.045,5327.592,36,0.391,0,0,0.002,0.597,0.01,0,1154.314028854181288,1088.564750595955957,311.072526987375795,4818.866911202508163,1155.242547794863185,325.076224455287900,1972.592321234568999,4038.558841510965067,0,557.566,0,10253.33726,10477.77996
C2,55.913688999999998,-4.299293,414.0315,414.031,5468.726,42,0.779,0,0,0,0.219,0.002,0,1218.868081705268423,967.929583386662785,13.201832114231047,5069.950603296102599,914.988693676879279,64.909615579501974,2125.681595061649659,3804.506406279992007,285.421264007492084,738.854,0,10253.33726,10477.77996
D0,55.906789000000003,-4.308434,17.263,17.263,4662.853,26,0.813,0,0.022,0,0.162,0.002,0,385.459418945455354,1504.551606974057677,416.116824820318982,4637.978837749396916,202.593234216734771,0,1178.061669202976418,4473.103348968907994,0,174.115,0,8928.154741,8928.154741
D1,55.903931999999998,-4.310215,273.2065,273.207,4344.345,40,0.117,0,0.878,0,0,0.004,0,98.776356771993420,1554.218465383693456,215.611897693527993,4432.817706349541368,0,0,892.786088832253085,4782.950798605423188,146.032201635144190,8.05,34,8928.154741,9042.981179
D2,55.902881000000001,-4.313101,311.8601,311.86,4232.815,35,0.14,0,0.705,0,0.154,0.002,0,142.054804655639998,1706.425237268882029,340.626290145083374,4444.819137356940701,5.152099433373520,0,677.692618356329490,4893.731416964299569,183.600118498455743,124.909,0,8928.154741,8928.154741
E0,55.899728000000003,-4.314641,17.9699,17.97,3888.893,31,0.972,0,0.018,0.01,0,0,0,301.347096866697257,1777.495691808437414,432.870454181351818,4193.106475698605209,247.355489879179402,8.895086537691224,450.177484846139691,5244.227369849685601,0,289.647,0,7437.441681,7437.441681
