id,light_dens,kelvindist,roaddist,urbanprop,clydedist,X,Y,site
"1196","0",495.9571225000,258.6315006000,0.0666666660,"13650",257906.81100000,672871.39440000,A0
"1197","0",472.8134110000,273.5556776000,0.0699844470,"13650",257931.81100000,672871.39440000,A0
"1407","0",487.2814868000,279.4679796000,0.0689834020,"13650",257906.81100000,672846.39440000,A0
"1408","0",463.7049726000,293.5148217000,0.0739782720,"13650",257931.81100000,672846.39440000,A0
"1409","0",440.2855390000,308.5830412000,0.0809128630,"13650",257956.81100000,672846.39440000,A0
"1410","0",417.0496495000,323.6944429000,0.0884635280,"13650",257981.81100000,672846.39440000,A0
"1411","0",394.0297760000,338.8058446000,0.0923236510,"13650",258006.81100000,672846.39440000,A0
"1617","0",503.8193854000,288.4034903000,0.0622083980,"13650",257881.81100000,672821.39440000,A0
"1618","0",479.7530900000,300.9239412000,0.0759689920,"13650",257906.81100000,672821.39440000,A0
"1619","0",455.7873206000,314.0340844000,0.0839813370,"13650",257931.81100000,672821.39440000,A0
"1620","0",431.9388103000,328.4990837000,0.0950904390,"13650",257956.81100000,672821.39440000,A0
"1621","0",408.2281104000,343.6104048000,0.0984966300,"13650",257981.81100000,672821.39440000,A0
"1622","0",384.6807045000,358.7218065000,0.0997416020,"13650",258006.81100000,672821.39440000,A0
"1623","0",361.3285190000,373.8332082000,0.1010886470,"13650",258031.81100000,672821.39440000,A0
"1624","0",338.2119940000,388.9446099000,0.1002583970,"13650",258056.81100000,672821.39440000,A0
"1828","0",497.7989082000,309.5474800000,0.0667356440,"13650",257881.81100000,672796.39440000,A0
"1829","0",473.4266652000,322.5635802000,0.0855809120,"13650",257906.81100000,672796.39440000,A0
"1830","0",449.1234369000,335.1499206000,0.0982928090,"13650",257931.81100000,672796.39440000,A0
"1831","0",424.9010659000,348.7525600000,0.1011410780,"13650",257956.81100000,672796.39440000,A0
"1832","0",400.7742134000,363.5263667000,0.1008794620,"13650",257981.81100000,672796.39440000,A0
"1833","0",376.7612299000,378.6377684000,0.1011410780,"13650",258006.81100000,672796.39440000,A0
"1834","0",352.8853619000,393.7491701000,0.1008794620,"13650",258031.81100000,672796.39440000,A0
"1835","0",329.1764465000,408.8605718000,0.1011410780,"13650",258056.81100000,672796.39440000,A0
"1836","0",305.6733341000,423.9719735000,0.1008794620,"13650",258081.81100000,672796.39440000,A0
"1837","0",282.4274091000,439.5035342000,0.1011410780,"13650",258106.81100000,672796.39440000,A0
"1838","0",259.5077950000,455.8541185000,0.1008794620,"13650",258131.81100000,672796.39440000,A0
"2039","0",492.9741708000,304.0124760000,0.0694660440,"13650",257881.81100000,672771.39440000,A0
"2040","0",468.3509232000,328.3920521000,0.0956072350,"13650",257906.81100000,672771.39440000,A0
"2041","0",443.7698070000,352.7716283000,0.1010886470,"13650",257931.81100000,672771.39440000,A0
"2042","0",419.2382328000,369.5815523000,0.1007751930,"13650",257956.81100000,672771.39440000,A0
"2043","0",394.7654368000,383.5870769000,0.1010886470,"13650",257981.81100000,672771.39440000,A0
"2044","0",370.3630710000,398.5537303000,0.1007751930,"13650",258006.81100000,672771.39440000,A0
"2045","0",346.0460354000,413.6651320000,0.1010886470,"13650",258031.81100000,672771.39440000,A0
"2046","0",321.8336727000,428.7765337000,0.1007751930,"13650",258056.81100000,672771.39440000,A0
"2047","0",297.7515191000,443.8879354000,0.1010886470,"13650",258081.81100000,672771.39440000,A0
"2048","0",273.8339304000,459.0178596000,0.1007751930,"13650",258106.81100000,672771.39440000,A0
"2049","0",250.1281185000,474.7175187000,0.1010886470,"13650",258131.81100000,672771.39440000,A0
"2050","0",226.7005292000,491.1477688000,0.1007751930,"13650",258156.81100000,672771.39440000,A0
"2051","0",203.6472052000,507.7507736000,0.1005702430,"13650",258181.81100000,672771.39440000,A0
"2052","0",181.1111219000,523.5955509000,0.0981912140,"13650",258206.81100000,672771.39440000,A0
"2250","0",489.3805401000,298.4774721000,0.0662183130,"13650",257881.81100000,672746.39440000,A0
"2251","0",464.5668599000,322.8570482000,0.0954356840,"13650",257906.81100000,672746.39440000,A0
"2252","0",439.7742848000,347.2366243000,0.1008794620,"13650",257931.81100000,672746.39440000,A0
"2253","0",415.0065973000,371.6162004000,0.1011410780,"13650",257956.81100000,672746.39440000,A0
"2254","0",390.2685359000,395.9957765000,0.1008794620,"13650",257981.81100000,672746.39440000,A0
"2255","0",365.5661149000,418.5089521000,0.1011410780,"13650",258006.81100000,672746.39440000,A0
"2256","0",340.9070821000,433.5810939000,0.1008794620,"13650",258031.81100000,672746.39440000,A0
"2257","0",316.3015853000,448.6924956000,0.1016597510,"13650",258056.81100000,672746.39440000,A0
"2258","0",291.7631696000,463.8038973000,0.1029487840,"13650",258081.81100000,672746.39440000,A0
"2259","0",267.3103092000,478.9152990000,0.1032157670,"13650",258106.81100000,672746.39440000,A0
"2260","0",242.9688368000,494.1073698000,0.1029487840,"13650",258131.81100000,672746.39440000,A0
"2261","0",218.7759354000,509.9510649000,0.1032157670,"13650",258156.81100000,672746.39440000,A0
"2262","0",194.7869713000,526.4414192000,0.1013967920,"13650",258181.81100000,672746.39440000,A0
"2263","0",171.0877507000,543.0444239000,0.0990663900,"13650",258206.81100000,672746.39440000,A0
"2264","0",147.8177009000,555.3094443000,0.0936368330,"13650",258231.81100000,672746.39440000,A0
"2265","0",125.2163207000,563.1547794000,0.0840248960,"13650",258256.81100000,672746.39440000,A0
"2460","0",504.0531578000,268.5628920000,0.0330749350,"13425",257856.81100000,672721.39440000,A0
"2461","0",482.3392377000,292.9424681000,0.0601347840,"13425",257881.81100000,672721.39440000,A0
"2462","0",460.9584520000,317.3220442000,0.0826873380,"13425",257906.81100000,672721.39440000,A0
"2463","0",437.1741090000,341.7016204000,0.0969414200,"13650",257931.81100000,672721.39440000,A0
"2464","0",412.2502344000,366.0811965000,0.1002583970,"13650",257956.81100000,672721.39440000,A0
"2465","0",387.3361719000,390.4607726000,0.1010886470,"13650",257981.81100000,672721.39440000,A0
"2466","0",362.4339448000,414.8403487000,0.1028423770,"13650",258006.81100000,672721.39440000,A0
"2467","0",337.5461725000,439.2199248000,0.1047174700,"13650",258031.81100000,672721.39440000,A0
"2468","0",312.6763068000,463.5995009000,0.1054263560,"13650",258056.81100000,672721.39440000,A0
"2469","0",287.8289894000,483.7198592000,0.1057542760,"13650",258081.81100000,672721.39440000,A0
"2470","0",263.0106108000,498.8312609000,0.1054263560,"13650",258106.81100000,672721.39440000,A0
"2471","0",238.2302156000,513.9426626000,0.1052358730,"13650",258131.81100000,672721.39440000,A0
"2472","0",213.5010302000,529.2322650000,0.1043927640,"13650",258156.81100000,672721.39440000,A0
"2473","0",188.8431735000,545.2003802000,0.1031622600,"13650",258181.81100000,672721.39440000,A0
"2474","0",164.2887654000,561.7350695000,0.0997416020,"13650",258206.81100000,672721.39440000,A0
"2475","0",139.8922896000,578.3380743000,0.0953862100,"13650",258231.81100000,672721.39440000,A0
"2476","0",115.7536477000,586.9907116000,0.0826873380,"13650",258256.81100000,672721.39440000,A0
"2477","0",92.0758450100,594.3228451000,0.0679108340,"13650",258281.81100000,672721.39440000,A0
"2478","0",69.3326438000,601.5614924000,0.0506459940,"13650",258306.81100000,672721.39440000,A0
"2479","0",48.8474130100,608.7960172000,0.0316226020,"13650",258331.81100000,672721.39440000,A0
"2671","0",492.4199081000,263.0278881000,0.0290456430,"13425",257856.81100000,672696.39440000,A0
"2672","0",470.1690336000,287.4074642000,0.0512157260,"13425",257881.81100000,672696.39440000,A0
"2673","0",448.2080705000,311.7870403000,0.0731327800,"13425",257906.81100000,672696.39440000,A0
"2674","0",426.5817960000,336.1666164000,0.0827728910,"13425",257931.81100000,672696.39440000,A0
"2675","0",405.3437837000,360.5461925000,0.0928423230,"13425",257956.81100000,672696.39440000,A0
"2676","0",384.5583665000,384.9257686000,0.1013967920,"13425",257981.81100000,672696.39440000,A0
"2677","0",361.0098950000,409.3053447000,0.1042531120,"13650",258006.81100000,672696.39440000,A0
"2678","0",336.0166641000,433.6849208000,0.1039834450,"13650",258031.81100000,672696.39440000,A0
"2679","0",311.0245213000,458.0644969000,0.1047717840,"13650",258056.81100000,672696.39440000,A0
"2680","0",286.0337517000,482.4612690000,0.1039834450,"13650",258081.81100000,672696.39440000,A0
"2681","0",261.0447497000,506.9147191000,0.1042531120,"13650",258106.81100000,672696.39440000,A0
"2682","0",236.0580768000,531.4190332000,0.1029487840,"13650",258131.81100000,672696.39440000,A0
"2683","0",211.0745600000,548.9700262000,0.1011410780,"13650",258156.81100000,672696.39440000,A0
"2684","0",186.0954705000,564.3859386000,0.0988101390,"13650",258181.81100000,672696.39440000,A0
"2685","0",161.1228675000,580.4625919000,0.0975103730,"13650",258206.81100000,672696.39440000,A0
"2686","0",136.1603198000,597.0287199000,0.0920848420,"13650",258231.81100000,672696.39440000,A0
"2687","0",111.2145986000,610.6941978000,0.0798755180,"13650",258256.81100000,672696.39440000,A0
"2688","0",86.3002967600,618.2518118000,0.0646663210,"13650",258281.81100000,672696.39440000,A0
"2689","0",61.4556383200,625.4909108000,0.0435684640,"13650",258306.81100000,672696.39440000,A0
"2690","0",36.8218650100,632.7263672000,0.0258665280,"13650",258331.81100000,672696.39440000,A0
"2691","0",13.5979411700,639.9608920000,0.0140041490,"13650",258356.81100000,672696.39440000,A0
"2692","0",2.7066951630,647.4161584000,0.0015519910,"13675",258381.81100000,672696.39440000,A0
"2693","0",13.2056230100,655.7027252000,0.0000000000,"13700",258406.81100000,672696.39440000,A0
"2881","0",504.7807362000,233.1133080000,0.0134784860,"13400",257831.81100000,672671.39440000,B0
"2882","0",481.8040534000,257.4928841000,0.0258397930,"13400",257856.81100000,672671.39440000,B0
"2883","0",459.0388874000,281.8724602000,0.0435458780,"13425",257881.81100000,672671.39440000,A0
"2884","0",436.5183323000,306.2520363000,0.0609819120,"13425",257906.81100000,672671.39440000,A0
"2885","0",414.2822814000,330.6316125000,0.0751684810,"13425",257931.81100000,672671.39440000,A0
"2886","0",392.3791062000,355.0120409000,0.0842377260,"13425",257956.81100000,672671.39440000,A0
"2887","0",370.8677894000,379.4432837000,0.0933125970,"13425",257981.81100000,672671.39440000,A0
"2888","0",349.8206276000,403.9441322000,0.0961240310,"13425",258006.81100000,672671.39440000,A0
"2889","0",329.3012751000,428.5026468000,0.0995334370,"13425",258031.81100000,672671.39440000,A0
"2890","0",308.9370131000,453.1094511000,0.1028423770,"13425",258056.81100000,672671.39440000,A0
"2891","0",286.3411633000,477.7570838000,0.1031622600,"13650",258081.81100000,672671.39440000,A0
"2892","0",261.3572791000,502.4395361000,0.1028423770,"13650",258106.81100000,672671.39440000,A0
"2893","0",236.3733949000,527.1519172000,0.1021254530,"13650",258131.81100000,672671.39440000,A0
"2894","0",211.3895107000,551.8902067000,0.0997416020,"13650",258156.81100000,672671.39440000,A0
"2895","0",186.4056264000,576.6510701000,0.0974598230,"13650",258181.81100000,672671.39440000,A0
"2896","0",161.4217422000,599.5632972000,0.0925064590,"13650",258206.81100000,672671.39440000,A0
"2897","0",136.4378580000,615.7354842000,0.0829445300,"13625",258231.81100000,672671.39440000,A0
"2898","0",111.4539738000,632.3223703000,0.0764857880,"13625",258256.81100000,672671.39440000,A0
"2899","0",86.4700896600,642.1807784000,0.0596163810,"13625",258281.81100000,672671.39440000,A0
"2900","0",61.4862054600,649.4198775000,0.0403100770,"13625",258306.81100000,672671.39440000,A0
"2901","0",36.5023212500,656.6567172000,0.0228097460,"13625",258331.81100000,672671.39440000,A0
"2902","0",11.5184370400,663.8912420000,0.0108527130,"13625",258356.81100000,672671.39440000,A0
"2903","0",13.4654471500,671.1954339000,0.0025920160,"13625",258381.81100000,672671.39440000,A0
"2904","0",37.9000212200,679.1919405000,0.0000000000,"13700",258406.81100000,672671.39440000,A0
"2905","0",36.4739389500,688.0044140000,0.0000000000,"13725",258431.81100000,672671.39440000,A0
"2906","0",34.7984625100,697.5881702000,0.0000000000,"13750",258456.81100000,672671.39440000,A0
"3092","0",495.6928198000,227.5783041000,0.0155199170,"13400",257831.81100000,672646.39440000,B0
"3093","0",472.2742062000,251.9759486000,0.0223029040,"13400",257856.81100000,672646.39440000,B0
"3094","0",449.0261464000,276.4697724000,0.0336264870,"13400",257881.81100000,672646.39440000,A0
"3095","0",425.9765656000,301.0468260000,0.0482365140,"13400",257906.81100000,672646.39440000,A0
"3096","0",403.1595077000,325.6882679000,0.0662183130,"13400",257931.81100000,672646.39440000,A0
"3097","0",380.6167928000,350.3805134000,0.0767634850,"13425",257956.81100000,672646.39440000,A0
"3098","0",358.4001914000,375.1135302000,0.0838075530,"13425",257981.81100000,672646.39440000,A0
"3099","0",336.5742882000,399.8797531000,0.0907676340,"13425",258006.81100000,672646.39440000,A0
"3100","0",315.2202496000,424.6733725000,0.0946714950,"13425",258031.81100000,672646.39440000,A0
"3101","0",294.4407580000,449.4898550000,0.0969917010,"13425",258056.81100000,672646.39440000,A0
"3102","0",274.0711363000,474.3256119000,0.0972581480,"13425",258081.81100000,672646.39440000,A0
"3103","0",253.7068743000,499.1777664000,0.0975103730,"13450",258106.81100000,672646.39440000,A0
"3104","0",233.3426123000,524.0439856000,0.0962234860,"13450",258131.81100000,672646.39440000,A0
"3105","0",212.2870239000,548.9218074000,0.0943983400,"13625",258156.81100000,672646.39440000,A0
"3106","0",187.3031396000,573.8081144000,0.0889808580,"13625",258181.81100000,672646.39440000,A0
"3107","0",162.3192554000,595.2474255000,0.0845435680,"13625",258206.81100000,672646.39440000,A0
"3108","0",137.3353712000,615.5470140000,0.0775995860,"13625",258231.81100000,672646.39440000,A0
"3109","0",112.3514870000,636.1813856000,0.0679460580,"13600",258256.81100000,672646.39440000,A0
"3110","0",87.3676028600,657.1190031000,0.0538023790,"13600",258281.81100000,672646.39440000,A0
"3111","0",62.3837186500,673.3488441000,0.0357883810,"13600",258306.81100000,672646.39440000,A0
"3112","0",37.3998344500,680.5870672000,0.0201758920,"13600",258331.81100000,672646.39440000,A0
"3113","0",12.4159502400,687.8215920000,0.0088174270,"13600",258356.81100000,672646.39440000,A0
"3114","0",12.5679339600,695.0603849000,0.0020693220,"13600",258381.81100000,672646.39440000,A0
"3115","0",37.5518181600,702.7854013000,0.0000000000,"13600",258406.81100000,672646.39440000,A0
"3116","0",61.4177313400,711.3056319000,0.0000000000,"13725",258431.81100000,672646.39440000,A0
"3117","0",59.7422549000,720.5849038000,0.0000000000,"13750",258456.81100000,672646.39440000,A0
"3118","0",58.0667784600,730.5966830000,0.0000000000,"13775",258481.81100000,672646.39440000,A0
"3119","0",56.4305806500,741.3166818000,0.0000000000,"13800",258506.81100000,672646.39440000,A1
"3303","0",487.6300321000,223.1169588000,0.0165889060,"13400",257831.81100000,672621.39440000,B0
"3304","0",463.8951055000,247.9411900000,0.0211886300,"13400",257856.81100000,672621.39440000,B0
"3305","0",440.2070651000,272.7975258000,0.0290305850,"13400",257881.81100000,672621.39440000,A0
"3306","0",416.6699106000,297.6759553000,0.0392764850,"13400",257906.81100000,672621.39440000,A0
"3307","0",393.3133212000,322.5702651000,0.0549507510,"13400",257931.81100000,672621.39440000,A0
"3308","0",370.1714777000,347.4797513000,0.0651162790,"13400",257956.81100000,672621.39440000,A0
"3309","0",347.2873122000,372.4013684000,0.0762052870,"13400",257981.81100000,672621.39440000,A0
"3310","0",324.7153083000,397.3328337000,0.0795865630,"13425",258006.81100000,672621.39440000,A0
"3311","0",302.5253472000,422.2724031000,0.0834629340,"13425",258031.81100000,672621.39440000,A0
"3312","0",280.8080127000,447.2187205000,0.0857881130,"13425",258056.81100000,672621.39440000,A0
"3313","0",259.6819097000,472.1707166000,0.0870917570,"13425",258081.81100000,672621.39440000,A0
"3314","0",239.2052594000,497.1275362000,0.0863049090,"13425",258106.81100000,672621.39440000,A0
"3315","0",218.8409974000,520.6143712000,0.0850181440,"13425",258131.81100000,672621.39440000,A0
"3316","0",198.4767354000,540.2527961000,0.0816537460,"13450",258156.81100000,672621.39440000,A0
"3317","0",178.1124734000,560.3139411000,0.0777604970,"13475",258181.81100000,672621.39440000,A0
"3318","0",157.7482114000,580.7584193000,0.0744186040,"13475",258206.81100000,672621.39440000,A0
"3319","0",137.3839494000,601.5471473000,0.0673924310,"13500",258231.81100000,672621.39440000,A0
"3320","0",113.2490002000,622.6456451000,0.0620155030,"13575",258256.81100000,672621.39440000,A0
"3321","0",88.2651160600,643.9275161000,0.0482115080,"13575",258281.81100000,672621.39440000,A0
"3322","0",63.2812318500,665.2125865000,0.0335917310,"13575",258306.81100000,672621.39440000,A0
"3323","0",38.2973476400,686.4976570000,0.0202177290,"13575",258331.81100000,672621.39440000,A0
"3324","0",13.3134634400,707.7827274000,0.0072351420,"13575",258356.81100000,672621.39440000,A0
"3325","0",11.6704207600,718.9864668000,0.0000000000,"13575",258381.81100000,672621.39440000,A0
"3326","0",36.6543049700,726.4729510000,0.0000000000,"13575",258406.81100000,672621.39440000,A0
"3327","0",61.6381891700,734.7185381000,0.0000000000,"13575",258431.81100000,672621.39440000,A0
"3328","0",84.6860472900,743.7109332000,0.0000000000,"13750",258456.81100000,672621.39440000,A0
"3329","0",83.0105708500,753.4154642000,0.0000000000,"13775",258481.81100000,672621.39440000,A0
"3330","0",81.4229108800,763.8152729000,0.0000000000,"13800",258506.81100000,672621.39440000,A1
