"","site","X","Y","prop_woodland","prop_wetland","prop_urban","prop_freshwater","prop_grassland","prop_arable","prop_montane","prop_heather","prop_coastal","dist_allotments","dist_Cemetery","dist_parks","dist_motorways","dist_major_roads","dist_minor_roads","dist_canal","dist_lake","dist_river"
"1","C0",256610.774184112,670916.067095572,0.429,0,0,0,0.515,0.055,0,0,0,949.517997669079,932.566660801715,480.665803706824,4592.11270194279,1057.75399895171,227.83684501083,1730.57963244295,4271.47162393881,0
"2","C1",256621.838170167,671158.860745516,0.391,0,0,0.002,0.597,0.01,0,0,0,1154.31402885418,1088.56475059596,311.072526987376,4818.86691120251,1155.24254779486,325.076224455288,1972.59232123457,4038.55884151097,0
"3","C2",256387.191862965,671343.877143633,0.779,0,0,0,0.219,0.002,0,0,0,1218.86808170527,967.929583386663,13.201832114231,5069.9506032961,914.988693676879,64.909615579502,2125.68159506165,3804.50640627999,285.421264007492
"4","D0",255790.339213548,670595.180795647,0.813,0,0.022,0,0.162,0.002,0,0,0,385.459418945455,1504.55160697406,416.116824820319,4637.9788377494,202.593234216735,0,1178.06166920298,4473.10334896891,0
"5","J0",255912.975602707,666208.050881791,0.012,0,0.89,0,0,0.012,0,0,0.086,734.194813558989,2473.17590280269,17.3447841747763,1822.6256040251,0,0,2199.04906439771,7900.18802805492,0
"6","J1",256146.443676062,666077.196777762,0.226,0,0.622,0,0.055,0.098,0,0,0,707.008052335352,2576.21136532269,0,1577.96159650809,0,0,2122.46692295251,7686.68996019797,136.234245779147
"7","J2",256191.594390806,665805.579844835,0,0,0.888,0,0,0,0,0,0.112,519.204071845308,2466.03450146831,71.1435945491547,1367.72164263296,0,0,2299.98181008839,7686.7082810909,24.3909008478415
"8","I0",256819.445846429,666493.177974241,0.66,0,0.313,0.016,0.008,0.002,0,0,0,1283.1060356606,3038.15244300153,0,1080.43625496572,376.938978103823,0,1373.47318307434,6967.08973525256,0
"9","I1",256841.509264004,666705.642881559,0.022,0,0.977,0,0,0,0,0,0,1091.13482269971,2893.05103172803,37.3084234427107,1139.37103777053,273.892740013548,0,1191.32674331944,6926.57217078579,142.919644603859
"10","I2",256883.530995989,666974.366253395,0,0,1,0,0,0,0,0,0,862.54830076649,2621.06384379662,262.20682803658,1234.84603534893,159.726234713454,0,966.17472266761,6869.75322972588,348.54932013652
"11","H0",257130.246593926,667506.547081818,0.222,0,0.71,0.066,0,0.002,0,0,0,421.456444378069,2064.25656620215,0,1336.58723940571,0,0,432.836209857026,6624.71015099216,0
"12","H1",257333.145450474,667628.944901876,0.008,0,0.992,0,0,0,0,0,0,475.179317750791,1929.9987379296,155.659116696018,1302.42687495887,0,0,195.894090813759,6428.59673222561,127.444138287619
"13","H2",257472.669607859,667840.544876115,0.029,0,0.961,0,0,0.01,0,0,0,512.428194358903,1711.25383738217,100.044845842554,1414.8674261774,0,0,0,6306.21718598514,372.738904679482
"14","G0",256836.239224532,668089.694769464,0.475,0,0.518,0,0.006,0,0,0,0,0,1539.65113701767,138.394208506028,1969.35383862955,301.197367345871,0,420.749945849125,6965.9481513315,0
"15","F0",256160.454037653,669324.926032104,0.431,0,0.524,0,0.031,0.014,0,0,0,472.235089501565,1069.1979981048,279.692897799991,3364.35707995772,66.4407499643004,0,175.559580790512,5767.61971946638,0
"16","F1",256366.602006323,669456.190538154,0,0,1,0,0,0,0,0,0,479.890307636222,835.202541799316,115.482062072143,3363.73919687781,0,0,252.337044772279,5661.47639782958,128.079543525385
"17","F2",256590.442605623,669577.85457266,0.041,0,0.909,0,0,0.05,0,0,0,597.404113555683,590.902687329542,0,3363.20517989754,175.432862595417,0,416.27414623616,5576.63769692989,382.844033000477
"18","E0",255376.097050662,669822.507369913,0.972,0,0.018,0.01,0,0,0,0,0,301.347096866697,1777.49569180844,432.870454181352,4193.10647569861,247.355489879179,8.89508653769122,450.17748484614,5244.22736984969,0
"19","E1",255220.957440216,669596.569217734,0.825,0,0.063,0,0.112,0,0,0,0,554.5875369694,1943.21911290965,638.397444438342,3927.81708747192,35.5321920120681,0,207.492657184997,5477.80132247696,109.166119092839
"20","E2",255247.258487717,669391.510446966,0.72,0,0,0,0.28,0,0,0,0,669.044091324698,1946.34921071899,713.056405213611,3817.76463182474,118.370069877309,12.7049708973363,40.4903528087045,5680.88143871675,257.425013374594
"21","B1",257693.161739397,671516.73287334,0.02,0,0,0,0.636,0.344,0,0,0,2143.8117980069,965.613733731003,1238.95143750719,4956.15499617408,251.291093454049,282.143264742815,1521.41850047533,4114.2671159532,83.0317699637928
"22","B2",257757.927164147,671289.485525105,0.008,0,0,0,0.584,0.408,0,0,0,2060.22269061332,736.634002249856,1322.24269538406,4724.31452311664,279.188546853604,163.19382305773,1331.40679718668,4343.75452072945,172.164939666446
"23","B0",257681.109710584,671760.288467418,0.607,0,0,0,0.249,0.144,0,0,0,2296.83857259819,1209.45564759851,1246.8918768741,5199.83769943349,161.060932851964,232.142957991416,1679.63071902442,3899.04495784429,0
"24","A2",258750.417580394,672211.485081987,0,0,0,0,0.497,0.503,0,0,0,3113.74750960579,1845.59673283961,2380.24068259737,5656.98886596504,742.004176076099,17.5115528092722,1244.37017325379,4227.96871060311,302.635818305752
"25","A1",258494.278308166,672393.970543765,0.07,0.088,0,0.002,0.601,0.239,0,0,0,3291.95568585634,1928.02022228751,2204.62944900647,5823.07927407079,596.466726062404,288.26296915876,1550.36072266233,3916.47925837998,80.8402824135323
"26","A0",258386.395189588,672502.657368064,0.205,0.028,0,0,0.7,0.067,0,0,0,3320.16174515283,2007.13649484803,2146.99314860122,5926.25903911961,549.106497405312,419.384377868314,1703.19574680185,3763.39499698552,0
"27","G1",256621.039390655,667958.70600129,0.01,0,0.897,0,0.019,0.074,0,0,0,0,1733.16553344887,56.7881511452188,2016.19983764837,268.517310779979,0,672.679410939795,7165.3121043327,64.7375660189619
"28","G2",256357.45917399,667913.432506595,0.004,0,0.996,0,0,0,0,0,0,0,1884.21569548869,170.817959111797,2182.57919809114,85.330110323867,0,858.431668773054,7191.87522522022,243.01922576923
"29","D2",255484.101431728,670170.104937251,0.14,0,0.705,0,0.154,0.002,0,0,0,142.05480465564,1706.42523726888,340.626290145083,4444.81913735694,5.15209943337352,0,677.692618356329,4893.7314169643,183.600118498456
"30","D1",255668.404012125,670281.01373576,0.117,0,0.878,0,0,0.004,0,0,0,98.7763567719934,1554.21846538369,215.611897693528,4432.81770634954,0,0,892.786088832253,4782.95079860542,146.032201635144
