site,Arable,Bog,Broadleaved woodland,Freshwater,Heather grassland,Improved grassland,Littoral sediment,Neutral grassland,Saltmarsh,Saltwater,Suburban,Urban
A0,6.150531681,2.587785728,18.71780547,0,6.358484686,56.60469087,0,0,0,0,0,0
A1,21.79058218,8.08238384,6.325379835,0.212313871,9.110189514,45.2383714,0,0,0,0,0,0
A2,45.52893496,0,0,0,0,44.38522786,0,0,0,0,0,0
B0,13.02554691,0,54.49821188,0,11.13040212,11.26000178,0,0,0,0,0,0
B1,31.06377401,0,1.757679958,0,50.00582277,8.10286524,0,0,0,0,0,0
B2,36.55103919,0,0.744878957,0,43.3046837,9.313560797,0,0,0,0,0,0
C0,4.960898845,0,39.39913968,0,0.056132259,46.15507991,0,0.187969925,0,0,0,0
C1,0.844859232,0,35.23783562,0.199149242,0,53.29868539,0,0,0,0,0,0
C2,0.187969925,0,70.99909238,0,1.363402513,16.33380675,0,1.874949141,0,0,0,0
D0,0.266865514,0,74.49528939,0,0,14.32993891,0,0,0,0,1.184272074,0.653775987
D1,0.371747212,0,10.17569066,0,0,0,0,0,0,0,68.88181852,10.31777964
D2,0.186281335,0,12.64968159,0,0,13.53793561,0,0,0,0,47.96945615,16.24558594
E0,0,0,88.25614556,0.862114893,0,0,0,0,0,0,1.470680256,0
E1,0,0,74.08084922,0,0,10.36412149,0,0,0,0,5.636942367,0
E2,0,0,65.31308622,0,0,24.93720443,0,0,0,0,0,0
F0,1.31826742,0,39.11764332,0,0,2.824858757,0,0,0,0,47.21961902,0.449753456
F1,0,0,0.007959091,0,0,0,0,0,0,0,79.68419177,10.89678983
F2,4.461229346,0,3.574180367,0,0,0,0,0,0,0,74.06883565,7.642790806
G0,0,0,43.10511322,0,0,0.562851782,0,0,0,0,38.98659722,7.934378508
G1,6.703910615,0,0.931098696,0,0,1.675977654,0,0,0,0,70.22508872,10.3780869
G2,0,0,0.359188004,0,0,0,0,0,0,0,87.57790154,2.482208978
H0,0.187617261,0,20.43414731,6.042732784,0,0,0,0,0,0,39.59281382,24.33162946
H1,0,0,0.743494424,0,0,0,0,0,0,0,59.25945986,29.74408169
H2,0.83307741,0,2.637349401,0,0,0,0,0,0,0,45.31978576,40.9568235
I0,0.224077012,0,59.61292646,1.557518991,0,0.743494424,0,0,0,0,23.8715043,3.737514825
I1,0,0,2.06239207,0,0,0,0,0,0,0,42.25390224,46.44292622
I2,0,0,0,0,0,0,0,0,0,0,35.40241051,55.35681007
J0,1.114186003,0,1.062199073,0,0,0,1.386586386,0,3.222361736,3.202833087,0.717765257,80.05328908
J1,8.90270308,0,20.63063021,0,0,5.056179775,0,0,0,0,27.27121242,28.55857296
J2,0,0,0,0,0,0,0,0,0,10.06129903,0.278299036,80.41962256
