,Site,landcover_number,LC,mean_LC_buffer,percent_LC
1,A0,1,Broadleaved woodland,0.187178055,18.71780547
93,A0,3,Arable,0.061505317,6.150531681
107,A0,4,Improved grassland,0.566046909,56.60469087
31,A0,10,Heather grassland,0.063584847,6.358484686
36,A0,11,Bog,0.025877857,2.587785728
8,A1,1,Broadleaved woodland,0.063253798,6.325379835
102,A1,3,Arable,0.217905822,21.79058218
108,A1,4,Improved grassland,0.452383714,45.2383714
28,A1,10,Heather grassland,0.091101895,9.110189514
35,A1,11,Bog,0.080823838,8.08238384
41,A1,14,Freshwater,0.002123139,0.212313871
99,A2,3,Arable,0.45528935,45.52893496
114,A2,4,Improved grassland,0.443852279,44.38522786
3,B0,1,Broadleaved woodland,0.544982119,54.49821188
100,B0,3,Arable,0.130255469,13.02554691
106,B0,4,Improved grassland,0.112600018,11.26000178
33,B0,10,Heather grassland,0.111304021,11.13040212
21,B1,1,Broadleaved woodland,0.0175768,1.757679958
84,B1,3,Arable,0.31063774,31.06377401
121,B1,4,Improved grassland,0.081028652,8.10286524
32,B1,10,Heather grassland,0.500058228,50.00582277
12,B2,1,Broadleaved woodland,0.00744879,0.744878957
95,B2,3,Arable,0.365510392,36.55103919
112,B2,4,Improved grassland,0.093135608,9.313560797
34,B2,10,Heather grassland,0.433046837,43.3046837
19,C0,1,Broadleaved woodland,0.393991397,39.39913968
92,C0,3,Arable,0.049608988,4.960898845
119,C0,4,Improved grassland,0.461550799,46.15507991
122,C0,5,Neutral grassland,0.001879699,0.187969925
30,C0,10,Heather grassland,0.000561323,0.056132259
5,C1,1,Broadleaved woodland,0.352378356,35.23783562
91,C1,3,Arable,0.008448592,0.844859232
113,C1,4,Improved grassland,0.532986854,53.29868539
40,C1,14,Freshwater,0.001991492,0.199149242
24,C2,1,Broadleaved woodland,0.709990924,70.99909238
98,C2,3,Arable,0.001879699,0.187969925
104,C2,4,Improved grassland,0.163338067,16.33380675
123,C2,5,Neutral grassland,0.018749491,1.874949141
